date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:55:39	78255/78255	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2018:25:38%20GMT	https://epaper.jugasankha.in/2742010/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1	C:/My%20Web%20Sites/website/epaper.jugasankha.in/2742010/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1.html	(from https://epaper.jugasankha.in/t/31264)
23:55:39	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2017%20Jul%202020%2018:25:39%20GMT	https://epaper.jugasankha.in/r/2740679	C:/My%20Web%20Sites/website/epaper.jugasankha.in/r/2740679	(from https://epaper.jugasankha.in/t/31264)
23:55:39	78255/78255	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2018:25:39%20GMT	https://epaper.jugasankha.in/2740679/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1	C:/My%20Web%20Sites/website/epaper.jugasankha.in/2740679/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1.html	(from https://epaper.jugasankha.in/t/31264)
23:55:40	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2017%20Jul%202020%2018:25:39%20GMT	https://epaper.jugasankha.in/r/2739621	C:/My%20Web%20Sites/website/epaper.jugasankha.in/r/2739621	(from https://epaper.jugasankha.in/t/31264)
23:55:40	78257/78257	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2018:25:40%20GMT	https://epaper.jugasankha.in/2739621/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1	C:/My%20Web%20Sites/website/epaper.jugasankha.in/2739621/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1.html	(from https://epaper.jugasankha.in/t/31264)
23:55:41	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2017%20Jul%202020%2018:25:40%20GMT	https://epaper.jugasankha.in/r/2738377	C:/My%20Web%20Sites/website/epaper.jugasankha.in/r/2738377	(from https://epaper.jugasankha.in/t/31264)
23:55:41	78255/78255	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2018:25:41%20GMT	https://epaper.jugasankha.in/2738377/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1	C:/My%20Web%20Sites/website/epaper.jugasankha.in/2738377/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1.html	(from https://epaper.jugasankha.in/t/31264)
23:55:41	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2017%20Jul%202020%2018:25:41%20GMT	https://epaper.jugasankha.in/r/2737215	C:/My%20Web%20Sites/website/epaper.jugasankha.in/r/2737215	(from https://epaper.jugasankha.in/t/31264)
23:55:42	78255/78255	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2018:25:42%20GMT	https://epaper.jugasankha.in/2737215/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1	C:/My%20Web%20Sites/website/epaper.jugasankha.in/2737215/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1.html	(from https://epaper.jugasankha.in/t/31264)
23:55:42	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2017%20Jul%202020%2018:25:42%20GMT	https://epaper.jugasankha.in/r/2736013	C:/My%20Web%20Sites/website/epaper.jugasankha.in/r/2736013	(from https://epaper.jugasankha.in/t/31264)
23:55:43	78257/78257	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2018:25:42%20GMT	https://epaper.jugasankha.in/2736013/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1	C:/My%20Web%20Sites/website/epaper.jugasankha.in/2736013/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1.html	(from https://epaper.jugasankha.in/t/31264)
23:55:43	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2017%20Jul%202020%2018:25:43%20GMT	https://epaper.jugasankha.in/r/2734447	C:/My%20Web%20Sites/website/epaper.jugasankha.in/r/2734447	(from https://epaper.jugasankha.in/t/31264)
23:55:43	78253/78253	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2018:25:43%20GMT	https://epaper.jugasankha.in/2734447/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1	C:/My%20Web%20Sites/website/epaper.jugasankha.in/2734447/SILCHAR-EDITION/KOLKATA-EDITION#page/1/1.html	(from https://epaper.jugasankha.in/t/31264)
23:55:44	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2017%20Jul%202020%2018:25:43%20GMT	https://epaper.jugasankha.in/r/2733188	C:/My%20Web%20Sites/website/epaper.jugasankha.in/r/2733188	(from https://epaper.jugasankha.in/t/31264)
